German	English	Comment?
Und du bist ein Pfotentier 🐾	And you (singular-informal) are a paw-animal 🐾	Furries?
Wie bitte? Das habe ich nicht verstanden.	I beg your pardon? I did not understand.	
Oh nein	Oh no	Obligatory knowledge in every language.
Du schaffst das!	You can do it!	
Lass uns das machen	Let’s do this!	
lass uns gehen!	Let’s go!	Going somewhere
Wohin?	Where?	
Komm!	Come!	Could also be related to let’s do something?
Ich weiß (es) nicht	I don’t know	
Ich weiß nicht was ich weiß	I don’t know what I know	
ich bin miau mit Sahne	I am meow with cream	Furries + a specific German learning book in Finland
Zu viel Tee	Too much tea	Is that possible?
